이름,MR_IID,MR제목,받은코멘트수,승인자수,CI결과
ㅊㅈㅇ,121,fix: 공고레이아웃 수정,0,1,unknown
ㅊㅈㅇ,110,fix: 권한 수정,0,1,unknown
ㅊㅈㅇ,108,fix: f=>w cookie sync 제거,0,1,unknown
ㅊㅈㅇ,107,Hotfix/sentry version,0,1,unknown
ㅊㅈㅇ,106,Fix: ios 팝업떴는지 여부 파악용 상수 변경,0,1,unknown
ㅊㅈㅇ,104,Fix: 광고 10 30 50 ...인덱스에 추가,0,0,unknown
ㅊㅈㅇ,101,Dimmed 영역 상태바까지 확장  로딩 케이스 수정,0,0,unknown
ㅊㅈㅇ,100,2025/09/09 QA,0,0,unknown
ㅊㅈㅇ,99,2025/09/11 QA-jw,0,1,unknown
ㅊㅈㅇ,97,2025/09/08 QA 처리건,0,0,unknown
ㅊㅈㅇ,96,2025/09/05 QA 처리건,0,1,unknown
ㅊㅈㅇ,95,2025/09/03 QA 처리건,0,0,unknown
ㅊㅈㅇ,93,쿠키 오염으로 api에 잘못된 쿠키 발려있던 이슈 수정,0,2,unknown
ㅊㅈㅇ,92,[stg3] statusbar 화이트 배경색 제거,0,1,unknown
ㅊㅈㅇ,91,Qa/09-08-JW,0,1,unknown
ㅊㅈㅇ,89,[TEST-73132] [stg3] 근무지 지도 > 근처 알바정보 클릭하여 지도 노출 시 기존 리스트 노출 갱신 안됨,0,0,unknown
ㅊㅈㅇ,87,Qa/09 05 jw,0,1,unknown
ㅊㅈㅇ,85,QA-2025/09/04 12건,0,1,unknown
ㅊㅈㅇ,82,30. [TEST-72907] [stg3-m] 공고 핀 선택 시 노출되는 바텀시트 > 스크랩 버튼 탭 시 동작 없음,0,0,unknown
ㅊㅈㅇ,80,37. [TEST-72850] 지도 상세 필터 스크롤 시 그라데이션 적용,0,0,unknown
ㅊㅈㅇ,78,Fix: N개 공고 result.failure 구현 누락 수정,0,1,unknown
ㅊㅈㅇ,77,Fix: 처음 맵 초기화시 크로스헤어 on되지 않도록 수정,0,1,unknown
ㅊㅈㅇ,76,Fix/test 72919,0,0,unknown
ㅊㅈㅇ,75,Fix/test 72915,0,0,unknown
