이름,MR_IID,MR제목,받은코멘트수,승인자수,CI결과
ㅂㄷㅅ,129,Feature/reboot new home,0,0,unknown
ㅂㄷㅅ,128,Release/5.4.3,0,0,unknown
ㅂㄷㅅ,127,Feature/test 78403 ga,0,0,unknown
ㅂㄷㅅ,126,[ALBAMON-26056] adpopcorn sdk 3.9.8,0,0,unknown
ㅂㄷㅅ,125,[ALBAMON-25909] adpopcorn 3.9.7,0,0,unknown
ㅂㄷㅅ,124,Feature/agp upgrade,0,0,unknown
ㅂㄷㅅ,123,Release/5.4.2,0,0,unknown
ㅂㄷㅅ,122,Feature/albamon 25909 adpopcorn,0,0,unknown
ㅂㄷㅅ,121,[feat] 알바지도 속성필터 연동 toapp 수정,0,0,unknown
ㅂㄷㅅ,120,Release/5.4.1,0,0,unknown
ㅂㄷㅅ,119,Feature/albamon 25476 roboot after,0,0,unknown
ㅂㄷㅅ,118,[TEST-77406] 청소년 계정 로그아웃 시 메인 > 하는 일 영역에서 'bar 알바 제외' 체크박스 미노출됨  [TEST-77408]...,0,0,unknown
ㅂㄷㅅ,117,[TEST-77406] 청소년 계정 로그아웃 시 메인 > 하는 일 영역에서 'bar 알바 제외' 체크박스 미노출됨  [TEST-77408]...,0,0,unknown
ㅂㄷㅅ,116,feat: Add Flutter user info channeling method,0,0,unknown
ㅂㄷㅅ,114,Release/5.3.5,0,0,unknown
ㅂㄷㅅ,113,[fix] 통합검색 > 검색화면 > 전체메뉴 진입 edge to edge 적용,0,0,unknown
ㅂㄷㅅ,112,Feature/albamon 25128 ad phase2,0,0,unknown
ㅂㄷㅅ,111,Feature/albamon 25021 community,0,0,unknown
ㅂㄷㅅ,110,[fix] 취약점 수정,0,0,unknown
ㅂㄷㅅ,109,[fix] 플러터 엔진 캐시 접근 예외 처리 추가,0,1,unknown
ㅂㄷㅅ,108,Release/5.3.4,0,0,unknown
ㅂㄷㅅ,107,[fix] 알바지도 웜스타트 오류 - 앱종료시 메모리 완전제거   uimode 변경시 activity 재생성 안하도록 막음,0,0,unknown
ㅂㄷㅅ,105,Feature/edge to edge,0,0,unknown
ㅂㄷㅅ,103,Feature/naver map delete,0,0,unknown
ㅂㄷㅅ,102,Release/5.3.3,0,0,unknown
ㅂㄷㅅ,101,Feature/albamon 25322 permission,0,0,unknown
ㅂㄷㅅ,98,Feature/albamon 25120 model,0,0,unknown
ㅂㄷㅅ,94,[fix] cast exception 크래시 방어코드 삽입,0,0,unknown
ㅂㄷㅅ,93,feature : 외부지원 퍼널 > View-ViewModel 기본 구조 구축,0,0,unknown
ㅂㄷㅅ,92,[feat] 폴더블폰 접었다피면 오류 나는 현상 수정.,0,0,unknown
ㅂㄷㅅ,91,[TEST-73083] 알바지도 adfit 광고 지면 변경,0,1,unknown
