해시,작성자,메시지,날짜,변경라인,파일수,파일핵심도,변경고유율,변경유형,메시지시그널,영향범위,가치점수,등급
35b9062b9df0,ㅈㅎㅊ,publish 0.0.126,2025-12-31,8,2,0.3,1.0,0.3,0.4,0.5,48,B
96c9be6d61d9,ㅈㅎㅊ,update banner alert padding,2025-12-31,2,1,0.3,1.0,0.3,0.4,0.5,48,B
310f57309fa2,ㅇㅅㅇ3,chore: publish 0.0.125,2025-12-31,8,2,0.3,1.0,0.3,0.2,0.5,44,B
6b76c12cf68c,ㅇㅅㅇ3,Fix/styles,2025-12-31,138,5,0.7,1.0,0.3,0.9,0.6,68,A
0559541e7b6d,ㄱㅈㄱ,image 사용 필드 변경,2025-12-31,65,6,0.7,0.494,0.3,0.4,0.5,49,B
3c3d0a0b3df7,ㄱㅈㄱ,delete unused fetchmore function,2025-12-31,113,4,0.3,0.291,0.3,0.4,0.6,34,C
2a92b2c76c7c,ㅈㅎㅊ,publish 0.0.123,2025-12-31,8,2,0.3,1.0,0.3,0.4,0.5,48,B
548b045403f0,ㅈㅎㅊ,fixed text and emoji,2025-12-31,44,3,0.9,0.573,0.3,0.9,0.6,65,A
df1858c8c414,ㅇㅅㅇ3,chore: publish 0.0.122,2025-12-31,8,2,0.3,1.0,0.3,0.2,0.5,44,B
060a3555313a,ㅇㅅㅇ3,modify: cpt carousels empty card 버튼 삭제,2025-12-31,45,3,0.3,0.417,0.3,0.25,0.6,35,C
3d8c0c7f1d46,ㄱㅈㄱ,recommend card text 순서 변경,2025-12-31,28,3,0.7,1.0,0.3,0.4,0.5,60,A
18e33ab8e1da,ㅇㅅㅇ3,chore: publish 0.0.120,2025-12-31,8,2,0.3,1.0,0.3,0.2,0.5,44,B
368419295c8b,ㅇㅅㅇ3,feat: emoji 추가,2025-12-31,139,8,0.3,0.899,0.3,0.8,0.5,51,B
2614b8acaf16,ㄱㅈㄱ,chore: update version,2025-12-30,8,2,0.3,1.0,0.3,0.2,0.5,44,B
3d33627b99bc,ㄱㅈㄱ,onboarding 로컬 저장 로직 수정,2025-12-30,298,2,0.7,0.981,0.6,0.8,0.8,76,A
2905c13a2a46,ㅇㅅㅇ3,chore: publish 0.0.118,2025-12-30,8,2,0.3,1.0,0.3,0.2,0.5,44,B
d768fd8a1c7b,ㅇㅅㅇ3,fix: build error,2025-12-30,2,1,0.3,1.0,0.3,0.9,0.5,55,B
9a855d7dadbb,ㅇㅅㅇ3,fix: design 이슈 수정,2025-12-30,284,7,0.7,0.537,0.5,0.9,0.5,63,A
14a3130fb774,ㄱㅈㄱ,온보딩 us 필터링 수정,2025-12-30,40,3,0.3,1.0,0.6,0.8,0.6,62,A
f66ec0483c71,ㄱㅈㄱ,chore: update version,2025-12-30,8,2,0.3,1.0,0.3,0.2,0.5,44,B
3c89e9fe142c,ㄱㅈㄱ,select onboarding 중국 홍콩  일본  미국 키워드 수정,2025-12-30,201,3,0.7,1.0,0.6,0.8,0.8,76,A
75c506d14809,ㅇㅅㅇ3,chore: publish 0.0.115,2025-12-30,8,2,0.3,1.0,0.3,0.2,0.5,44,B
f25b32fd05b0,ㅇㅅㅇ3,Fix/designs2,2025-12-30,18,6,0.7,0.978,0.2,0.9,0.5,64,A
6802b1560148,ㅇㅅㅇ3,chore: publish 0.0.114,2025-12-30,8,2,0.3,1.0,0.3,0.2,0.5,44,B
30a83a89dde3,ㅇㅅㅇ3,Fix/designs,2025-12-30,846,30,0.7,0.398,0.4,0.9,0.4,56,B
