해시,작성자,메시지,날짜,변경라인,파일수,파일핵심도,변경고유율,변경유형,메시지시그널,영향범위,가치점수,등급
8791e73a4781,ㅁㅅㅇ,modify: deploy config,2025-08-27,51,3,0.3,1.0,0.8,0.4,0.6,61,A
8ea5266dc439,ㅁㅅㅇ,modify: deploy config,2025-08-25,56,5,0.7,1.0,1.0,0.4,0.6,78,A
354a7d919f85,ㅇㄹㅇ,refactor: textField 리팩토링,2025-08-24,255,1,0.3,0.666,0.8,0.5,0.9,59,B
cc8e4c279cfb,ㅇㄹㅇ,remove: 미사용 콘솔 삭제,2025-08-24,13,1,0.3,1.0,0.8,0.25,0.9,62,A
b0b922671b05,ㅇㄹㅇ,remove: 미사용 콘솔 삭제,2025-08-24,6,2,0.7,1.0,0.3,0.25,0.5,57,B
09a8524d4960,ㅁㅅㅇ,modify: SINGLE_TAG_COMPONENT에 'DatePicker' 추가 및 COMPOUND_COMPONENT에서 'DatePicker' 제거,2025-08-20,2,1,0.7,1.0,0.3,0.55,0.5,62,A
ad27928c9245,ㅁㅅㅇ,modify: 환경변수 사용 설정,2025-08-19,58,7,0.7,0.982,0.5,0.4,0.5,64,A
238464989282,ㅁㅅㅇ,modify: mixinTextStyle 및 handleTextNode 함수에 디버깅을 위한 console.log 추가 및 getTextStyleProps 함수에서 fills 처리,2025-08-19,8,2,0.7,1.0,0.8,0.7,0.5,76,A
484b7e17c9e2,ㅁㅅㅇ,modify: genManifest 함수에 networkAccess 속성 추가 및 getS3StylesJson 함수에서 S3 스타일 JSON 로드 로직 개선,2025-08-19,2590,2,0.7,0.174,1.0,0.7,0.8,68,A
5f6d3c50af61,ㅁㅅㅇ,modify: wrapWithShadow 함수에서 effectStyleId 처리 로직 개선 및 loadStyles 함수에서 S3 스타일 JSON 로드 추가,2025-08-19,2594,3,0.7,0.174,0.4,0.7,0.8,53,B
ade458a57db7,ㅁㅅㅇ,modify: debug loadStyles 함수에 localPaintStyles를 출력하는 console.log 추가,2025-08-18,1,1,0.7,1.0,0.3,0.7,0.5,64,A
3e040acd4b2c,ㅁㅅㅇ,modify: getColorStyleName 함수에 디버깅을 위한 console.log 추가,2025-08-18,1,1,0.7,1.0,0.3,0.7,0.5,64,A
9af07c0a6ced,ㅁㅅㅇ,modify:  debug boxNode와 textNode에서 디버깅을 위한 console.log 추가,2025-08-18,4,2,0.3,1.0,0.3,0.7,0.5,52,B
8fdd9b1fb5e4,ㅁㅅㅇ,modify: 텍스트 노드 처리 시 width와 height를 정수로 변환하여 블록 속성에 적용,2025-08-18,5,2,0.7,1.0,0.3,0.4,0.5,60,A
70e4e816065b,ㅁㅅㅇ,modify: boxNode에서 strokeStyleId에 따른 borderColor 속성 추가 및 instanceNode에서 Button...,2025-08-18,28,3,0.3,1.0,0.8,0.7,0.5,64,A
