이름,MR_IID,MR제목,받은코멘트수,승인자수,CI결과
ㄱㅈㄱB,359,feat: dist 파일이 안생기는 이슈 해결,0,0,unknown
ㄱㅈㄱB,357,smartfit 섹션 생성,0,0,unknown
ㄱㅈㄱB,354,chore: update version,0,0,unknown
ㄱㅈㄱB,353,feat: section별 util 함수 감싸는 customProps 추가,0,0,unknown
ㄱㅈㄱB,352,chore: update version,0,0,unknown
ㄱㅈㄱB,351,feat: onboarding loading 기본 스타일 추가,0,0,unknown
ㄱㅈㄱB,350,Feature/jams2/delete util fn,0,0,unknown
ㄱㅈㄱB,349,chore: update version,0,0,unknown
ㄱㅈㄱB,348,fix onboarding logic,0,0,unknown
ㄱㅈㄱB,343,Feature/jams2/fix onboarding,0,0,unknown
ㄱㅈㄱB,341,chore: update version,0,0,unknown
ㄱㅈㄱB,340,fix: cardJobLogoBasic 타입 변경에 따른 빌드 에러 해결,0,0,unknown
ㄱㅈㄱB,338,tags helper 생성 및 적용,1,1,unknown
ㄱㅈㄱB,334,carousel-card-recommend 로직 수정,0,0,unknown
ㄱㅈㄱB,332,chore: update version,0,0,unknown
ㄱㅈㄱB,331,feat: 중복되는 export 삭제,0,0,unknown
ㄱㅈㄱB,330,image errorsrc 수정,0,0,unknown
ㄱㅈㄱB,320,card-super 컴포넌트 제작,0,0,unknown
ㄱㅈㄱB,318,feat: filter 빌드에 포함,0,0,unknown
ㄱㅈㄱB,317,chore: update version,0,0,unknown
ㄱㅈㄱB,316,style: pb 추가,0,0,unknown
ㄱㅈㄱB,315,style: box shadow 가려짐에 의한 gap -> padding 수정,0,0,unknown
ㄱㅈㄱB,313,tag enum  util 함수 추가 및 적용,0,1,unknown
ㄱㅈㄱB,312,Job Preference Onboarding 섹션 제작 및 stepper foundation 제작,0,1,unknown
ㄱㅈㄱB,303,job-preference 컴포넌트 제작,0,1,unknown
ㄱㅈㄱB,301,carousel card thumnail  logo-basic  image windowing 기능 추가 및 gnb  footer 컴포넌트 삭제처,1,1,unknown
ㄱㅈㄱB,300,image가 nullable할 경우 방어로직 추가,1,1,unknown
ㄱㅈㄱB,299,chore: update version,0,0,unknown
ㄱㅈㄱB,298,carousel-card-recommend 로깅 추가,0,0,unknown
ㄱㅈㄱB,290,chore: version update,0,0,unknown
ㄱㅈㄱB,289,fix: react hook 룰 위반 수정,0,0,unknown
ㄱㅈㄱB,288,chore: update version,0,0,unknown
ㄱㅈㄱB,287,onboarding fetch 로직 제작,0,1,unknown
ㄱㅈㄱB,283,recommend card type,0,0,unknown
ㄱㅈㄱB,281,chore: update version,0,0,unknown
ㄱㅈㄱB,279,chore: update version,0,0,unknown
ㄱㅈㄱB,278,recommend-card 타입 수정,0,0,unknown
ㄱㅈㄱB,276,chore: update version,0,0,unknown
ㄱㅈㄱB,275,fix: card type 수정,0,1,unknown
ㄱㅈㄱB,270,chore: update version,0,0,unknown
ㄱㅈㄱB,268,section별 fetch 함수 적용,0,1,unknown
ㄱㅈㄱB,266,chore: update version,0,0,unknown
ㄱㅈㄱB,264,chore: update version,0,0,unknown
ㄱㅈㄱB,263,변경된 fetch 방식에 맞는 example 코드 생성,0,1,unknown
ㄱㅈㄱB,255,onboarding에 첫번째 선택값을 받는 props 추가,0,0,unknown
ㄱㅈㄱB,251,feat: onboarding 섹션 로직 업데이트에 의한 배포,0,0,unknown
ㄱㅈㄱB,250,fix: build error,0,0,unknown
ㄱㅈㄱB,246,온보딩 로직 수정 및 온보딩 완료 UI 컴포넌트 제작,0,0,unknown
ㄱㅈㄱB,234,Onboarding Section 추가,0,1,unknown
ㄱㅈㄱB,227,card style 업데이트 배포,0,0,unknown
ㄱㅈㄱB,226,Fix Card Style,0,1,unknown
ㄱㅈㄱB,223,list card basic 컴포넌트 타입 업데이트 건 배포,0,0,unknown
