해시,작성자,메시지,날짜,변경라인,파일수,파일핵심도,변경고유율,변경유형,메시지시그널,영향범위,가치점수,등급
a12ba817cd7f,ㅊㅁㄱ,fix: 채용공고 날짜 표시를 startedAt/closedAt 필드로 변경,2026-01-01,60,9,0.7,1.0,0.5,0.9,0.5,72,A
70b6d4c4dbda,ㄱㅅㅁ,modify: 온보딩 페이지 CTA 영역 하단 고정 처리,2025-12-31,7,1,0.3,1.0,0.3,0.4,0.7,50,B
56b0ef114efa,ㄱㅅㅁ,fix: 페이지 간 데이터 갱신 이슈 수정,2025-12-31,31,4,0.7,0.855,0.3,0.9,0.5,64,A
504ae65a22b0,ㅂㄴㄹ,fix: 파일명,2025-12-31,28,2,0.3,1.0,0.2,0.9,0.6,54,B
44140b3ab968,ㄱㅅㅁ,modify: eslint error,2025-12-31,2,1,0.7,1.0,0.3,0.4,0.5,60,A
e1bfb4eccba5,ㄱㅅㅁ,온보딩 페이지 신규 버전 구현,2025-12-31,2625,77,0.7,0.407,0.4,0.7,0.4,54,B
005111af10ac,ㅂㄴㄹ,Qa/jobs,2025-12-30,1292,32,0.7,0.714,0.4,0.4,0.4,55,B
d616e6ab2a27,ㅊㅁㄱ,modify: 직무 Modal 검색창 placeholder 문구 변경,2025-12-30,130,6,0.7,0.66,0.6,0.4,0.5,60,A
c3b53900a7a8,ㅁㅅㅇ,Fix/utils,2025-12-30,124667,5,0.7,0.467,0.7,0.9,0.6,67,A
a634f51860bc,ㅁㅅㅇ,modify: Update PM_CONFIG_API_URL in environment files for consistency across...,2025-12-30,6443,7,0.3,0.354,0.4,0.4,0.5,37,C
a7567d94bc6c,ㅊㅁㄱ,fix: 직무 선택 모달 칩 삭제 시 카테고리 유지 버그 수정,2025-12-30,140,6,0.7,1.0,0.6,0.75,0.5,72,A
070217125bea,ㅁㅅㅇ,feat: Create home page view components for bizcenter workspace,2025-12-30,137313,182,0.8,0.466,0.5,0.8,0.4,62,A
b2f97a614a58,ㅊㅁㄱ,modify: env.dev,2025-12-30,2,1,0.3,1.0,0.3,0.4,0.5,48,B
754771cf8d8d,ㄱㅅㅁ,메일 초대 SSO 로그인 리다이렉트 수정,2025-12-30,26,7,0.7,1.0,0.6,0.8,0.5,73,A
7de047a45a73,ㅊㅁㄱ,fix: 공고 목록 상태 Chip 표시 및 하단 안내 문구 수정,2025-12-30,84,5,0.3,1.0,0.8,0.9,0.6,68,A
e7fbbe2ca960,ㅁㅅㅇ,modify: Refactor prestart script to simplify environment variable handling and...,2025-12-30,76,3,0.7,1.0,0.6,0.4,0.8,70,A
5205d5f2e6b9,ㅊㅁㄱ,modify: env files,2025-12-30,8,4,0.3,0.3,0.2,0.4,0.5,31,C
ae35ba984d82,ㅊㅁㄱ,fix: 외국어 선택 모달 검색 플레이스홀더 문구 수정,2025-12-30,2,1,0.3,1.0,0.3,0.9,0.5,55,B
b3c371bd390b,ㅊㅁㄱ,fix: 채용 마감 공고 버튼 숨김 및 외국어 중국어 매핑 수정,2025-12-30,56,2,0.3,1.0,0.6,0.9,0.8,66,A
ceb17f38765c,ㅊㅁㄱ,modify: test codes,2025-12-30,4,1,0.3,1.0,0.2,0.4,0.7,47,B
9c787ca81cbb,ㅊㅁㄱ,fix: 공고 목록 검색 UI 개선 및 테스트 데이터 수정,2025-12-30,40,3,0.3,1.0,0.3,0.9,0.6,56,B
8fdf068c1a34,ㅊㅁㄱ,fix: 채용절차 중복 검증 및 주소 areaCode 수정,2025-12-30,159,11,0.7,0.887,0.6,0.9,0.4,71,A
659fa19f7795,ㅂㅅㅎ,지원자 리스트 레이아웃 및 면접제안 모달 문구 수정,2025-12-30,17,3,0.3,1.0,0.3,0.8,0.5,54,B
61771790b0c3,ㅂㄴㄹ,fix: qa,2025-12-29,297,19,0.3,1.0,0.5,0.9,0.4,59,B
e8a45532aa2f,ㅊㅁㄱ,modify: ai loading animation,2025-12-29,22,3,0.3,1.0,0.3,0.4,0.5,48,B
ce942907b1d7,ㄱㅅㅁ,브랜드명 변경: 비즈센터 → 하이어링센터,2025-12-29,491,34,0.8,0.924,0.5,0.4,0.4,65,A
245ec93035fa,ㄱㅅㅁ,워크스페이스 활동 내역 개인정보 전체 보기 기능 추가 및 렌더링 최적화,2025-12-29,1708,53,0.8,0.559,0.4,0.7,0.4,60,A
70cb6b90b07c,ㅂㅅㅎ,메시지 API 타입 에러 수정,2025-12-29,193,14,0.7,0.689,0.6,0.8,0.4,66,A
24db41b150c1,ㅂㄴㄹ,Qa/jobs,2025-12-29,604,6,0.7,0.748,0.4,0.4,0.5,57,B
