이름,MR_IID,MR제목,받은코멘트수,승인자수,CI결과
ㄱㅅㅁ,595,modify: 온보딩 페이지 CTA 영역 하단 고정 처리,1,0,unknown
ㄱㅅㅁ,594,fix: 페이지 간 데이터 갱신 이슈 수정,1,0,unknown
ㄱㅅㅁ,591,modify: eslint error,1,0,unknown
ㄱㅅㅁ,587,온보딩 페이지 신규 버전 구현,3,0,unknown
ㄱㅅㅁ,581,메일 초대 SSO 로그인 리다이렉트 수정,1,0,unknown
ㄱㅅㅁ,575,브랜드명 변경: 비즈센터 → 하이어링센터,1,0,unknown
ㄱㅅㅁ,573,워크스페이스 활동 내역 개인정보 전체 보기 기능 추가 및 렌더링 최적화,1,0,unknown
ㄱㅅㅁ,570,modify: 워크스페이스 및 초대 flow layout,1,0,unknown
ㄱㅅㅁ,566,fix: UNAUTHORIZED 에러 시 BE의 cookie 삭제 헤더 전파,1,0,unknown
ㄱㅅㅁ,554,feat: 잡코리아 referrer 체크로 무한 리다이렉트 방지,1,0,unknown
ㄱㅅㅁ,544,🔧 워크스페이스 인증 및 리다이렉트 로직 개선,1,0,unknown
ㄱㅅㅁ,541,fix: Middleware 쿠키 전파 이슈 해결,1,0,unknown
ㄱㅅㅁ,540,fix: SSO 인증 무한루프 및 2FA stateCode 처리 개선,3,0,unknown
ㄱㅅㅁ,538,SSO 인증 시 from_bizcenter_login 파라미터 무한 루프 해결,1,0,unknown
ㄱㅅㅁ,537,워크스페이스 인증 리다이렉트 URL 도메인 처리 개선,1,0,unknown
ㄱㅅㅁ,536,Middleware-Server Component 인증 데이터 전달 오류 수정,1,0,unknown
ㄱㅅㅁ,534,워크스페이스 활동 내역 리스트 수정 및 상세 기능 구현,1,0,unknown
ㄱㅅㅁ,528,JK PM Config 패키지 적용 (v0.0.2 - Mock Data),1,1,unknown
ㄱㅅㅁ,526,2단계 인증 stateCode 추가,1,0,unknown
ㄱㅅㅁ,521,modify: two-factor 인증 link 수정,1,0,unknown
ㄱㅅㅁ,517,비즈센터 이용 제한 기능 구현,1,0,unknown
ㄱㅅㅁ,516,2단계 미인증 회원 인증 페이지 이동,1,0,unknown
ㄱㅅㅁ,508,BZWTextField 컴포넌트 구현 및 워크스페이스 멤버 관리 개선,1,0,unknown
ㄱㅅㅁ,507,"Revert ""Merge branch 'feature/auth-integration-supplement' into 'release_1223'""",1,0,unknown
ㄱㅅㅁ,503,refactor: 로그인 리다이렉트 및 세션 만료 처리에 externalPaths와 openUrl 적용,1,1,unknown
ㄱㅅㅁ,502,SSO 인증 로직 및 API 구조 개선,2,1,unknown
ㄱㅅㅁ,496,modify: checkbox table style,1,1,unknown
ㄱㅅㅁ,483,활동 이력 페이지 UI 개선 및 공통 컴포넌트 추가,1,1,unknown
ㄱㅅㅁ,482,날짜 포맷 통일 및 인증 API 경로 변경,2,1,unknown
ㄱㅅㅁ,481,워크스페이스 인증 쿠키 propagation 로직 개선,1,0,unknown
ㄱㅅㅁ,476,Feature/auth flag,1,0,unknown
ㄱㅅㅁ,473,release_1202 배포 - 지원자 관리  공고 관리  SSO 통합인증 기능 개선,2,0,unknown
ㄱㅅㅁ,468,modify: react 버전 업그레이드로 인한 오류,1,0,unknown
ㄱㅅㅁ,467,테스트 환경 URL 변경 (jts15 → jts13  schema URL 도메인 변경),1,0,unknown
ㄱㅅㅁ,464,리액트  넥스트 취약점 버전 수정,1,0,unknown
ㄱㅅㅁ,463,custom alert 노출하는 error code 추가,1,0,unknown
ㄱㅅㅁ,459,fix: 워크스페이스 초대 수락 시 불량 기업/휴폐업 에러 처리 및 custom alert 추가,1,0,unknown
ㄱㅅㅁ,426,SSO 통합인증 연동 및 점진적 마이그레이션 구현,2,0,unknown
ㄱㅅㅁ,416,modify: 워크스페이스 약관 동의 시점 개선 및 개발 환경 최적화,2,1,unknown
ㄱㅅㅁ,412,modify: Husky pre-push Hook E2E 테스트 비활성화 및 MR 가이드 개선,1,1,unknown
ㄱㅅㅁ,411,fix: ESLint 에러 수정 - 빌드 실패 원인 해결,1,0,unknown
ㄱㅅㅁ,405,refactor: 워크스페이스 생성 및 초대 수락 시 약관 동의 토스트 메시지 제거,0,0,unknown
ㄱㅅㅁ,401,docs: MR 작성 가이드 및 GitLab MCP 자동화 설정 추가,1,1,unknown
ㄱㅅㅁ,400,워크스페이스 초대 시 inviteeRoleType 제거 및 불필요한 권한 로직 정리,1,0,unknown
ㄱㅅㅁ,398,roleType 제거 및 memberType 전환,2,1,unknown
ㄱㅅㅁ,395,modify: 인증 api 환경변수,1,1,unknown
ㄱㅅㅁ,394,Release 1125,1,1,unknown
ㄱㅅㅁ,391,워크스페이스 생성 에러 처리 개선 및 문서화,1,0,unknown
ㄱㅅㅁ,390,워크스페이스 권한 체크 로직 개선 및 초대 수락 시 인증 정보 갱신,1,0,unknown
ㄱㅅㅁ,389,워크스페이스 역할 라벨 및 생성 완료 경로 수정,1,0,unknown
ㄱㅅㅁ,386,"멤버 관리 > 초대 중 권한 ""멤버""로 고정",1,0,unknown
ㄱㅅㅁ,385,applicants/ui/detail 경로를 Detail로 변경,1,0,unknown
ㄱㅅㅁ,384,멤버 권한 관리 기능 제거 및 내계정관리 멤버 뱃지 노출,1,0,unknown
ㄱㅅㅁ,382,워크스페이스 외부 접속 시 노출할 에러 페이지,2,1,unknown
ㄱㅅㅁ,381,"워크스페이스 생성 및 초대 수락 시 ""광고성 정보 수신 동의"" 처리 개선",1,0,unknown
ㄱㅅㅁ,378,modify: 오타 수정,1,0,unknown
ㄱㅅㅁ,377,modify: 정렬 리스트 키 변경,1,0,unknown
ㄱㅅㅁ,376,QA 1120 수정사항 반영,1,0,unknown
ㄱㅅㅁ,374,워크스페이스 멤버 리스트에서 현재 사용자 최상위 정렬 기능 추가,1,0,unknown
ㄱㅅㅁ,372,modify: eslint error,1,0,unknown
ㄱㅅㅁ,371,TEST 74404 - 워크스페이스 초대 및 생성 시 약관 동의 로직 개선,1,0,unknown
ㄱㅅㅁ,367,QA 이슈 수정 - 약관 관리 및 유사 워크스페이스 기능 개선,3,0,unknown
ㄱㅅㅁ,365,QA 1118 이슈 수정 및 워크스페이스 멤버 관리 개선,1,0,unknown
ㄱㅅㅁ,364,TEST-74404 개인정보수집 및 이용 동의에도 'DISAGREED' 값 반영,2,1,unknown
