해시,작성자,메시지,날짜,변경라인,파일수,파일핵심도,변경고유율,변경유형,메시지시그널,영향범위,가치점수,등급
cfa21571db77,ㅈㅎㅊ,Fixed TEST-75917 error,2025-12-31,13,2,0.7,1.0,0.6,1.0,0.5,76,A
1642b6b0de23,ㄱㅈㄱ,feat: package update,2025-12-31,12,2,0.3,1.0,0.3,0.8,0.5,54,B
142d13efe3e1,ㅈㅎㅊ,update display-kit version,2025-12-31,12,2,0.3,1.0,0.3,0.4,0.5,48,B
457d043d0dab,ㄱㅈㄱ,notice bar blank,2025-12-31,31,3,0.7,1.0,0.3,0.4,0.6,60,A
85ab18f5a0ad,ㄱㅈㄱ,feat: display-kit 버전 업데이트,2025-12-30,12,2,0.3,1.0,0.3,0.8,0.5,54,B
cb0d1ee166bb,ㄱㅈㄱ,onboarding fetch 함수 추가,2025-12-30,106,6,0.7,0.98,0.5,0.7,0.5,69,A
0db58e4e5e44,ㅈㅎㅊ,update logo height,2025-12-30,2,1,0.7,1.0,0.3,0.4,0.5,60,A
48832fb246a9,ㄱㅈㄱ,cookie no fetch 함수 추가,2025-12-30,122,7,0.7,0.941,0.8,0.7,0.5,75,A
6c1b895fbf9c,ㅈㅎㅊ,Fixed version error,2025-12-30,2,1,0.7,1.0,0.3,0.9,0.5,67,A
ca57be71e6ef,ㅈㅎㅊ,updated versioning logic  curatin banner,2025-12-30,152,8,0.7,0.955,0.8,0.4,0.5,71,A
bbbbbf9a6199,ㅈㅎㅊ,Fixed logo issue,2025-12-30,20,6,0.3,0.825,0.3,0.9,0.5,52,B
bb1896a1e897,ㅈㅎㅊ,fixed logo url fetching,2025-12-30,35,2,0.7,1.0,1.0,0.9,0.6,86,S
a3dd9c8b8481,ㅈㅎㅊ,replace logger with console,2025-12-29,264,15,0.7,0.659,0.8,0.4,0.4,64,A
e02433e66408,ㅈㅎㅊ,update curtain banner,2025-12-29,126,2,0.7,0.939,0.8,0.4,0.8,74,A
8c6e83ed2898,ㅈㅎㅊ,deleted logger,2025-12-29,2,1,0.7,1.0,0.15,0.4,0.5,56,B
c317bb3d9612,ㅈㅎㅊ,updated env urls,2025-12-29,79,7,0.7,0.48,0.15,0.4,0.5,45,B
84d602ba68f8,ㅈㅎㅊ,updated pm-config version,2025-12-29,12,2,0.3,1.0,0.3,0.4,0.5,48,B
f2556b8d27be,ㄱㅈㄱ,feat: test logger 추가,2025-12-29,4,1,0.8,1.0,0.3,0.8,0.7,70,A
2f279862db4d,ㅈㅎㅊ,update env url,2025-12-29,2,1,0.3,1.0,0.3,0.4,0.5,48,B
0af3a616be04,ㄱㅈㄱ,feat: helper-utils package version up,2025-12-29,12,2,0.3,1.0,0.3,0.8,0.5,54,B
7df4c0e19b31,ㅈㅎㅊ,Update server api url,2025-12-29,282,10,0.7,0.903,0.6,0.4,0.4,64,A
29f8634981b2,ㄱㅈㄱ,feat: util pacakge version up,2025-12-29,12,2,0.3,1.0,0.3,0.8,0.5,54,B
0d3fcf6ff13e,ㄱㅈㄱ,helper-utils 패키지 버전업,2025-12-29,12,2,0.3,1.0,0.3,0.4,0.5,48,B
fe1cada90dbe,ㄱㅈㄱ,fix: docker-cache,2025-12-29,2,1,0.3,1.0,0.3,0.9,0.5,55,B
3843a086735b,ㄱㅈㄱ,helper 패키지 버전업,2025-12-29,12,2,0.3,1.0,0.3,0.4,0.5,48,B
09427a3674fc,ㄱㅈㄱ,update jds/utils,2025-12-29,12,2,0.3,1.0,0.3,0.4,0.5,48,B
87de99af5ee6,ㅈㅎㅊ,fixed build error,2025-12-26,1,1,0.7,1.0,0.15,0.9,0.5,63,A
0128bf66f3df,ㄱㅈㄱ,default config extend type 추가 및 빌드에러 해결,2025-12-26,155,5,0.7,0.873,0.5,0.7,0.6,67,A
becf307fd782,ㄱㅈㄱ,default config 실제 json 데이터로 변경,2025-12-26,626,3,0.7,0.254,0.3,0.4,0.8,48,B
bbd41221ab0f,ㄱㅈㄱ,screen title custom props 생성 및 섹션별 애니메이션 property 추가,2025-12-26,55,8,0.8,1.0,0.6,0.7,0.5,74,A
