이름,MR_IID,MR제목,받은코멘트수,승인자수,CI결과
ㄱㅈㄱ,133,feat: package update,0,0,unknown
ㄱㅈㄱ,132,notice bar blank,0,0,unknown
ㄱㅈㄱ,131,feat: display-kit 버전 업데이트,0,0,unknown
ㄱㅈㄱ,130,onboarding fetch 함수 추가,0,0,unknown
ㄱㅈㄱ,129,cookie no fetch 함수 추가,0,0,unknown
ㄱㅈㄱ,122,feat: test logger 추가,0,0,unknown
ㄱㅈㄱ,120,feat: helper-utils package version up,0,0,unknown
ㄱㅈㄱ,118,feat: util pacakge version up,0,0,unknown
ㄱㅈㄱ,117,helper-utils 패키지 버전업,0,0,unknown
ㄱㅈㄱ,116,fix: docker-cache,0,0,unknown
ㄱㅈㄱ,115,helper 패키지 버전업,0,0,unknown
ㄱㅈㄱ,114,update jds/utils,0,0,unknown
ㄱㅈㄱ,112,default config extend type 추가 및 빌드에러 해결,0,0,unknown
ㄱㅈㄱ,111,default config 실제 json 데이터로 변경,0,0,unknown
ㄱㅈㄱ,110,onboarding section refetch 로직 변경,0,0,unknown
ㄱㅈㄱ,109,screen api info custom props에 추가,0,0,unknown
ㄱㅈㄱ,107,screen title custom props 생성 및 섹션별 애니메이션 property 추가,0,0,unknown
ㄱㅈㄱ,95,선호공고 온보딩 renderType 정의,0,0,unknown
ㄱㅈㄱ,91,curation job 쿼리 제작 및 복리후생 코드 파싱 함수 제작,0,0,unknown
ㄱㅈㄱ,89,section 데이터에 useDmp  scCode 포함,0,1,unknown
ㄱㅈㄱ,86,screen section api 연동 확인,0,1,unknown
ㄱㅈㄱ,84,total menu mouseLeave 영역 조정 및 footer 변경사항 반영,0,0,unknown
ㄱㅈㄱ,83,선호공고 선택 mutation 추가,0,0,unknown
ㄱㅈㄱ,82,섹션별 scrap event 추가 및 취약점 React 버전 수정,2,1,unknown
ㄱㅈㄱ,81,next 취약점 버전 수정,0,0,unknown
ㄱㅈㄱ,80,dmp login 종속성 문제 해결,0,0,unknown
ㄱㅈㄱ,79,h1  h2 태그 적용,0,0,unknown
ㄱㅈㄱ,77,modal status 변경,0,0,unknown
ㄱㅈㄱ,76,update modal ui 제작,0,0,unknown
ㄱㅈㄱ,75,scrap query  mutation 함수 제작 및 authModal 적용,2,1,unknown
ㄱㅈㄱ,74,util 함수 관리포인트 변경 section -> service,0,0,unknown
ㄱㅈㄱ,73,dimension fetch 함수 추가 및 GA 데이터 값 삽입,0,0,unknown
ㄱㅈㄱ,72,jk-auth package version update 및 tracesSampleRate 1 -> 0.5 변경,0,0,unknown
ㄱㅈㄱ,71,ga event 추가,0,0,unknown
ㄱㅈㄱ,67,display-kit 버전 업,0,0,unknown
ㄱㅈㄱ,66,dmp 적용,3,1,unknown
ㄱㅈㄱ,64,display-kit version update,0,0,unknown
ㄱㅈㄱ,63,onboarding animation package version update,0,0,unknown
ㄱㅈㄱ,59,긴급 공지 모달 api 연결 및 쿠키 저장 로직 제작,0,0,unknown
ㄱㅈㄱ,57,urgent notice 추가,0,0,unknown
ㄱㅈㄱ,53,maintenance notice modal ui 제작,0,0,unknown
ㄱㅈㄱ,52,virtual issue 수정 버전업 반영,0,0,unknown
ㄱㅈㄱ,51,meta 태그 및 script 주입,0,0,unknown
ㄱㅈㄱ,50,디자인 변경에 따른 스타일 적용,0,0,unknown
ㅁㅅㅇ,70,chore: update @jds/display-kit to version 0.0.49 and refresh pnpm-lock.yaml...,0,0,unknown
ㅁㅅㅇ,68,feat: integrate Braze SDK and configure Sentry for error tracking,0,0,unknown
ㅁㅅㅇ,65,feat: Google Tag manager page view,0,0,unknown
ㅁㅅㅇ,62,refactor: replace dotnet API logo fetching with new logo fetching method,0,0,unknown
ㅁㅅㅇ,61,feat: 메인페이지 로고 정보 적용,0,0,unknown
ㅁㅅㅇ,60,feat :  middleware pm 환경설정 추가,0,0,unknown
ㅁㅅㅇ,58,modify: Update environment configuration and package dependencies,0,0,unknown
ㅁㅅㅇ,56,Refactor: move metadata definition from layout to page component,0,0,unknown
ㅁㅅㅇ,54,modify: uuid 구성,0,0,unknown
ㅁㅅㅇ,49,chore: update dependencies and refactor fetch imports,0,0,unknown
ㅁㅅㅇ,48,feat: integrate Sentry and OpenTelemetry for enhanced observability and update..,0,0,unknown
ㅁㅅㅇ,47,chore: update @jds/display-kit to version 0.0.14 and add scroll animation styles,0,0,unknown
ㅁㅅㅇ,45,modify: 인증모듈 적용,0,0,unknown
ㅁㅅㅇ,44,modify: code api 호출 함수 수정 / fetch 정리,0,0,unknown
ㅁㅅㅇ,42,modify: 헤더 자동완성 버그 수정 / 회원별 메뉴 수정,0,0,unknown
ㅁㅅㅇ,38,Update @jds/display-kit dependency to local file reference and increment...,0,0,unknown
ㅁㅅㅇ,37,Feature/bugfix,0,0,unknown
ㅁㅅㅇ,34,Update dependencies in package.json and pnpm-lock.yaml; add...,0,0,unknown
ㅁㅅㅇ,33,Feature/quick menu,0,0,unknown
ㅁㅅㅇ,32,Add NODE_TLS_REJECT_UNAUTHORIZED to .npmrc  update API documentation URLs  and..,0,0,unknown
ㅁㅅㅇ,28,Update @jds/jams2 to version 0.5.26  add cache option in total-menu.fetch  and..,0,0,unknown
ㅁㅅㅇ,26,Add UseFilterArea component to AutoComplete and update Header component,0,0,unknown
ㅁㅅㅇ,25,Feature/autocomplete,0,0,unknown
ㅁㅅㅇ,22,feat: update @jds/jams2 to version 0.5.8  add dayjs dependency  and modify...,0,0,unknown
ㅁㅅㅇ,20,Feature/search bar,0,0,unknown
ㅁㅅㅇ,19,refactor: update imports and dependencies for improved consistency,0,0,unknown
ㅁㅅㅇ,18,feat: add new components and assets for improved UI,0,0,unknown
ㅁㅅㅇ,16,refactor: restructure layout and remove unused components,0,0,unknown
ㅁㅅㅇ,3,Remove .env files from .gitignore to allow for optional committing of environmen,0,0,unknown
ㅁㅅㅇ,1,Update project configuration and structure: Added ESLint and Prettier...,0,0,unknown
ㅈㅎㅊ,128,updated versioning logic  curatin banner,0,0,unknown
ㅈㅎㅊ,127,update curtain banner,0,0,unknown
ㅈㅎㅊ,126,Fixed logo issue,0,0,unknown
ㅈㅎㅊ,125,fixed logo url fetching,0,0,unknown
ㅈㅎㅊ,124,replace logger with console,0,0,unknown
ㅈㅎㅊ,123,updated env urls,0,0,unknown
ㅈㅎㅊ,121,update env url,0,0,unknown
ㅈㅎㅊ,119,Update server api url,0,0,unknown
ㅈㅎㅊ,113,fixed build error,0,0,unknown
ㅈㅎㅊ,108,updated fetching url,0,0,unknown
ㅈㅎㅊ,106,updat url test,0,0,unknown
ㅈㅎㅊ,105,test,0,0,unknown
ㅈㅎㅊ,104,update url,0,0,unknown
ㅈㅎㅊ,103,env 설정 변경,0,0,unknown
ㅈㅎㅊ,102,revert default config,0,0,unknown
ㅈㅎㅊ,101,publish test,0,0,unknown
ㅈㅎㅊ,100,Develop to Release,0,0,unknown
ㅈㅎㅊ,99,update env files and added logger,0,0,unknown
ㅈㅎㅊ,98,update env dev,0,0,unknown
ㅈㅎㅊ,97,update display-kit version,0,0,unknown
ㅈㅎㅊ,96,add isLoggedIn userName,0,0,unknown
ㅈㅎㅊ,94,update urgent notice,0,0,unknown
ㅈㅎㅊ,93,Fixed ad banner error,0,0,unknown
ㅈㅎㅊ,92,Add git lab ci,0,1,unknown
ㅈㅎㅊ,90,update pm config url,0,0,unknown
ㅈㅎㅊ,88,Updated: curtain banner api,1,1,unknown
ㅈㅎㅊ,87,updated middleware and sdui server,0,1,unknown
ㅈㅎㅊ,85,Fixed AdBanner rendering issues,0,0,unknown
ㅈㅎㅊ,78,Update user segment with real config,1,1,unknown
ㅈㅎㅊ,69,update bordercolor when focusing,0,0,unknown
ㅈㅎㅊ,55,Add curtain banner,0,0,unknown
ㅈㅎㅊ,36,Dotnet client 에러 수정,0,0,unknown
ㅈㅎㅊ,35,Fixed prefetching data,0,0,unknown
ㅈㅎㅊ,30,Fix errors (Suspense 추가  package.json 수정),0,1,unknown
ㅈㅎㅊ,27,Update fetching way with server side fetching,0,1,unknown
ㅈㅎㅊ,21,updated jams version,0,0,unknown
ㅇㄷㅎ2,39,fix: Update .gitignore to exclude .idea directory and modify environment...,0,0,unknown
ㅇㄷㅎ2,14,fix: enhance Dockerfile to conditionally upload static assets,0,0,unknown
ㅇㄷㅎ2,13,feat: add dynamic asset prefix handling in Next.js configuration,0,0,unknown
ㅇㄷㅎ2,12,fix: restore env-cmd package in package.json and pnpm-lock.yaml,0,0,unknown
ㅇㄷㅎ2,11,chore: add env-cmd package and update pnpm-lock.yaml,0,0,unknown
ㅇㄷㅎ2,10,modify: enhance Dockerfile and server configuration for asset management and env,0,0,unknown
ㄱㄱㄹ,43,인증 모듈 추가,0,0,unknown
