이름,MR_IID,MR제목,받은코멘트수,승인자수,CI결과
ㄱㄱㄹ,878,feat: OTEL 환경변수 설정,1,0,unknown
ㄱㄱㄹ,877,Feat/apply button,1,1,unknown
ㄱㄱㄹ,875,feat: ApplyButton 스타일 및 텍스트를 모바일과 동일하게 변경,2,1,unknown
ㄱㄱㄹ,873,refactor: update applyOnPass implementation and enhance external path...,1,0,unknown
ㄱㄱㄹ,868,Feature/apply popup,2,1,unknown
ㄱㄱㄹ,867,feat: 즉시지원 버튼 클릭시 신규 입사지원 플로우 개선 팝업 노출,3,1,unknown
ㄱㄱㄹ,862,feat: Integrate Hotjar tracking script directly in RootLayout and remove...,1,1,unknown
ㄱㄱㄹ,861,feat: Integrate Hotjar tracking script directly in RootLayout and remove...,1,0,unknown
ㄱㄱㄹ,859,feat: Integrate Hotjar tracking script directly in RootLayout and remove...,2,0,unknown
ㄱㄱㄹ,858,feat: Integrate Hotjar tracking script directly in RootLayout and remove...,1,0,unknown
ㄱㄱㄹ,857,feat: Add Hotjar tracking script to RootLayout,1,0,unknown
ㄱㄱㄹ,856,feat: Hotjar 스크립트 컴포넌트 추가,3,0,unknown
ㄱㄱㄹ,847,Refactor/api route,4,0,unknown
ㄱㄱㄹ,845,fix: RecruitDetailLayout 관련 추상화 제거,2,1,unknown
ㄱㄱㄹ,843,feat: 한국 시간대에 맞춘 날짜 부분 추출 헬퍼 함수 추가 및 마감일 포맷팅 함수 리팩토링,4,1,unknown
ㄱㄱㄹ,826,fix: server-env.ts 환경 변수에서 'X-FORWARDED-FOR' 제거,2,1,unknown
ㄱㄱㄹ,824,fix: 공고 상세 링크에 쿼리 파라미터 추가,2,1,unknown
ㄱㄱㄹ,820,Fix/onepick,0,0,unknown
ㄱㄱㄹ,818,fix: 여러 API에서 cookies 관련 코드 제거 및 NextHeaders로 통일,0,0,unknown
ㄱㄱㄹ,817,Next header 사용하도록 변경,2,1,unknown
ㄱㄱㄹ,810,fix: 경력 범위 from 값이 null일 경우 0으로 처리,2,1,unknown
ㄱㄱㄹ,809,fix: 경력 범위 from 값이 null일 경우 0으로 처리,0,0,unknown
ㄱㄱㄹ,808,Fix/workplace,2,1,unknown
ㄱㄱㄹ,807,test: workplace 텍스트 생성 함수에 대한 단위 테스트 추가,0,0,unknown
ㄱㄱㄹ,805,Fix/workplace,0,0,unknown
ㄱㄱㄹ,797,fix: 태그 관련 API에만 DEV 환경에서 IP 화이트리스트 헤더 생성 로직 추가,0,0,unknown
ㄱㄱㄹ,794,fix: 태그 관련 API에만 DEV 환경에서 IP 화이트리스트 헤더 생성 로직 추가,0,0,unknown
ㄱㄱㄹ,793,modify: template default.md 에서 release.md로 변경,0,0,unknown
ㄱㄱㄹ,792,Fix/ip address,0,0,unknown
ㄱㄱㄹ,791,Fix/ip address,0,0,unknown
ㄱㄱㄹ,785,Fix/career,0,0,unknown
ㄱㄱㄹ,782,fix: 환경 변수에서 'X-FORWARDED-FOR' 항목 제거 및 관련 코드 수정,1,1,unknown
ㄱㄱㄹ,780,Fix/tracking,0,1,unknown
ㄱㄱㄹ,777,fix: 트래킹 로직 롤백,1,1,unknown
ㄱㄱㄹ,774,fix: criteo 스크립트 실행 방식 변경,2,1,unknown
ㄱㄱㄹ,769,fix: next/script를 script로 변경,1,1,unknown
ㄱㄱㄹ,766,feat: MR description 템플릿 추가,2,1,unknown
ㄱㄱㄹ,764,Refactor/tracking,2,1,unknown
ㄱㄱㄹ,763,fix: API status 400  401  404 로그 레벨 글로벌 설정,2,1,unknown
ㄱㄱㄹ,762,Refactor/fetch,1,0,unknown
ㄱㄱㄹ,761,fix: sentry 에러 레벨 설정,0,0,unknown
ㄱㄱㄹ,756,fix: 고용형태 빈배열일 경우 미노출,0,0,unknown
ㄱㄱㄹ,755,fix: jobDetail이 없을 경우 기본 메타데이터 반환 추가,0,0,unknown
ㄱㄱㄹ,754,Refactor/fetch,0,0,unknown
ㄱㄱㄹ,753,fix: border-radius 수정,0,0,unknown
ㄱㄱㄹ,752,Refactor/fetch,0,0,unknown
ㄱㄱㄹ,749,fix: getV1JobsId 비동기 함수로 변경,0,0,unknown
ㄱㄱㄹ,748,feat: sentry error category [FETCH API] 추가,0,0,unknown
ㄱㄱㄹ,746,fix: fetch json response 분리 및 error throw 추가,0,0,unknown
ㄱㄱㄹ,743,fix: 인메모리 캐시 반환 수정,0,0,unknown
ㄱㄱㄹ,742,fix: 변수 접근시 옵셔널 처리 추가,0,0,unknown
ㄱㄱㄹ,739,Fix/custom event,0,0,unknown
ㄱㄱㄹ,738,Fix/custom event,0,0,unknown
ㄱㄱㄹ,737,Fix/custom event,0,0,unknown
ㄱㄱㄹ,735,fix: Event `CustomEvent` (type=unhandledrejection) captured as promise rejection,0,0,unknown
ㄱㄱㄹ,734,Refactor/code,0,0,unknown
ㄱㄱㄹ,733,Refactor/code,0,0,unknown
ㄱㄱㄹ,731,Refactor/code,0,0,unknown
ㄱㄱㄹ,730,Refactor/code,0,0,unknown
ㄱㄱㄹ,729,fix: client error 발생 시 디폴트 리턴에서 throw error로 변경,0,0,unknown
ㄱㄱㄹ,728,Refactor/code,0,0,unknown
ㄱㄱㄹ,726,fix: dmp 에러 처리 추가,0,0,unknown
ㄱㄱㄹ,725,Refactor/code,0,0,unknown
ㄱㄱㄹ,724,Refactor/code,0,0,unknown
ㄱㄱㄹ,723,fix: code api 디폴트값 설정,0,0,unknown
ㄱㄱㄹ,715,Feature/refactor,0,0,unknown
ㄱㄱㄹ,714,modify: response text도 sentry에서 출력,0,0,unknown
ㄱㄱㄹ,713,modify: fetchCommonCode sentry log 추가,0,0,unknown
