해시,작성자,메시지,날짜,변경라인,파일수,파일핵심도,변경고유율,변경유형,메시지시그널,영향범위,가치점수,등급
f693e3c0c5bb,ㅈㅎㅊ,* update react 19.2.3,2025-12-16,1736,2,0.3,0.168,0.2,0.4,0.8,31,C
ec873730fa7b,ㅈㅎㅊ,* feat: update-version-15.5.9,2025-12-12,51,3,0.3,0.886,0.5,0.4,0.6,51,B
8a23b03d8e52,ㅈㅎㅊ,* Delete unused middleware,2025-12-08,39,1,0.7,1.0,0.15,0.4,0.9,60,A
ee3da4ea1f08,ㅈㅎㅊ,* Fixed middleware - health일 때는 API경로에 대한 접근 제한 처리 제외 ( Kubernetes의 health check probe는 내부에서 직접 호출하기,2025-12-08,7,1,0.7,1.0,0.8,0.8,0.7,80,S
2fdeb5882ddc,ㅈㅎㅊ,* nextjs version up for security,2025-12-08,438,5,0.7,0.647,0.3,0.4,0.6,53,B
fdbb4e84492c,ㅇㅅㅇ2,* modify: pnpm-lock.yaml에서 React 및 Next.js 버전 업데이트,2025-12-08,20,1,0.3,0.9,0.3,0.4,0.9,50,B
aa4c1c665a8c,ㅈㅎㅊ,* feat: middleware 통합,2025-12-08,156,8,0.7,0.978,0.6,0.4,0.5,67,A
590d0eca2f47,ㅇㅅㅇ2,* modify: package.json 및 pnpm-lock.yaml에서 React 및 Next.js 버전 업데이트,2025-12-05,2192,2,0.3,0.167,0.3,0.4,0.8,34,C
5c6c651e0815,ㅇㅅㅇ2,* modify: Search 컴포넌트에서 필터 기능 및 상태 관리 개선,2025-11-05,321,7,0.7,1.0,0.6,0.6,0.5,70,A
f98625640e8c,ㅇㅅㅇ2,* modify: Search 컴포넌트에서 featureType 속성을 searchFeatureCode로 변경,2025-09-30,2,1,0.3,1.0,0.3,0.4,0.5,48,B
d5d7ee6ee2f1,ㅇㅅㅇ2,* modify: MySearch 및 Recommend 컴포넌트에서 인증 상태에 따른 API 호출 조건 개선,2025-09-26,14,2,0.3,1.0,0.3,0.6,0.5,51,B
bfc75359a259,ㅇㅅㅇ2,* modify: MySearch 컴포넌트에서 인증 상태에 따라 API 호출 조건 추가,2025-09-26,9,1,0.3,1.0,0.3,0.7,0.7,54,B
44ce540cbd09,ㅇㅅㅇ2,* modify: MySearch 컴포넌트에서 인증 여부에 따라 검색 쿼리 활성화,2025-09-26,1,1,0.3,1.0,0.3,0.4,0.5,48,B
ff32bbd84e64,ㅇㅅㅇ2,* modify: 세션 만료 처리 로직 개선,2025-09-26,13,1,0.7,1.0,0.3,0.6,0.9,66,A
b82b9b08c536,ㅇㅅㅇ2,* modify: RecentTags 및 Recommend 컴포넌트에서 쿠키 데이터 읽어오기 기능 추가,2025-09-25,126,3,0.7,0.858,0.8,0.7,0.8,77,A
054a9cdc976f,ㅇㅅㅇ2,* modify: RecentFilter 저장 방식 변경,2025-09-25,100,2,0.7,0.64,0.8,0.4,0.8,68,A
cd4a0851f05b,ㅇㅅㅇ2,* modify: SearchClient 컴포넌트에서 실험 데이터 및 UUID 관련 코드 주석 처리,2025-09-25,73,6,0.4,1.0,0.6,0.4,0.5,58,B
914a3340f48d,ㅇㅅㅇ2,* modify: JOBKOREA_TEST_URL 환경 변수 추가 및 referer 기반 URL 반환 로직 구현,2025-09-22,440,16,0.7,0.43,0.5,0.7,0.4,57,B
2ba564e3c9c3,ㅇㅅㅇ2,* modify: xflowFetch 함수에 credentials 속성 추가,2025-09-19,5,1,0.3,1.0,0.3,0.7,0.7,54,B
cb1f30288098,ㅇㅅㅇ2,* modify: XFLOW_API_URL 환경 변수 수정,2025-09-16,2,1,0.3,1.0,0.3,0.8,0.5,54,B
72ce1ac49ed9,ㅇㅅㅇ2,* modify: Sentry.beforeSend에서 특정 에러 메시지 무시 로직 추가,2025-09-16,13,1,0.3,1.0,0.8,0.7,0.9,68,A
2884b2ee92c4,ㅇㅅㅇ2,* modify: JOBKOREA_URL 환경 변수 수정,2025-09-13,2,1,0.3,1.0,0.3,0.8,0.5,54,B
37d1b3dba385,ㅇㅅㅇ2,* modify: JOBKOREA_URL 환경 변수 수정,2025-09-11,2,1,0.3,1.0,0.3,0.8,0.5,54,B
78833ca7cc89,ㅇㅅㅇ2,* modify: GoogleAnalytics 컴포넌트의 dimension 값 수정,2025-09-11,1516,34,0.7,0.572,0.5,0.8,0.4,61,A
5199a994a2f0,ㅇㅅㅇ2,* modify: MySearchItem 컴포넌트의 새로운 직업 수 표시 수정,2025-09-09,2,1,0.7,1.0,0.3,0.8,0.5,66,A
0134b49384ea,ㅇㅅㅇ2,* modify: MySearch 컴포넌트 스타일 수정,2025-09-09,4,2,0.3,1.0,0.3,0.8,0.5,54,B
8e8dce68cffc,ㅇㅅㅇ2,* modify: HOST_URL 환경 변수 수정,2025-09-09,2,1,0.3,1.0,0.3,0.8,0.5,54,B
