해시,작성자,메시지,날짜,변경라인,파일수,파일핵심도,변경고유율,변경유형,메시지시그널,영향범위,가치점수,등급
ce7c75cefb6d,ㅅㄷㅎ,[검색] CodeHub 데이터 로딩 Fallback 로직 및 저장조건 직무 태그 표시 개선,2025-10-14,147,2,0.3,0.78,0.6,0.6,0.8,57,B
d673ff536362,ㅅㄷㅎ,[TEST-73779][TEST-73780] 검색 필터 locationList 매핑 로직 개선,2025-10-14,3,1,0.7,1.0,0.3,0.7,0.7,66,A
c2bcb26ce5fd,ㅅㄷㅎ,[TEST-73665] 검색 자동완성 featureCode 전달 개선,2025-10-14,10,1,0.3,1.0,0.2,0.7,0.9,54,B
8d9a39effa9b,ㅅㄷㅎ,검색 필터 데이터 CodeHub 시스템 통합 및 로컬 캐싱 구현,2025-10-13,2326,57,1.0,0.528,0.7,0.7,0.4,73,A
e87c21b470e5,ㅅㄷㅎ,검색 API 도메인 변경 및 에러 처리 개선,2025-10-01,10,2,0.3,1.0,1.0,0.6,0.5,68,A
1b24c4ce7516,ㅅㄷㅎ,검색 API v2 엔드포인트 적용 및 필터 데이터 처리 개선,2025-10-01,75,3,0.7,1.0,0.5,0.6,0.8,70,A
d3dc9620858d,ㅅㄷㅎ,"DMP 로그 디바이스 식별 개선: ""m""에서 ""iOS""로 변경",2025-09-30,6,1,0.9,0.55,0.3,0.6,0.7,62,A
c2a706924e25,ㅅㄷㅎ,TEST-73647 검색 화면 네비게이션 로직 PathNavigation으로 개선,2025-09-30,22,2,0.3,1.0,0.3,0.7,0.6,53,B
747b1cf5e42d,ㅅㄷㅎ,TEST-73637 검색 필터 저장 로직 개선,2025-09-30,4,1,0.7,1.0,0.3,0.7,0.7,66,A
57bdf31d26ac,ㅅㄷㅎ,TEST-73637  TEST-73639  TEST-73635 검색 지역 필터링 UX 개선,2025-09-29,140,5,1.0,0.717,0.5,0.7,0.6,73,A
817317b459ed,ㅅㄷㅎ,프로덕션 서버 도메인 URL 업데이트,2025-09-29,2,1,0.3,1.0,0.9,0.4,0.5,62,A
