이름,MR_IID,MR제목,받은코멘트수,승인자수,CI결과
ㅇㅅㅇ2,437,test: window 유틸리티 함수의 팝업 열기 관련 테스트 코드 간소화,1,0,unknown
ㅇㅅㅇ2,436,test: 쿠키 및 URL 관련 유틸리티 함수 테스트 추가,1,0,unknown
ㅇㅅㅇ2,435,From release into master,1,0,unknown
ㅇㅅㅇ2,430,modify: middleware 함수 수정,2,1,unknown
ㅇㅅㅇ2,428,modify: Sentry DSN을 2로 업데이트,1,0,unknown
ㅇㅅㅇ2,427,modify: Sentry DSN을 4에서 2로 변경,1,0,unknown
ㅇㅅㅇ2,426,modify: Sentry 인증 토큰 업데이트,1,0,unknown
ㅇㅅㅇ2,425,modify: Sentry DSN 업데이트,1,0,unknown
ㅇㅅㅇ2,423,modify: Sentry 설정에서 DMP API 관련 모든 에러 무시 로직 추가,1,0,unknown
ㅇㅅㅇ2,420,modify: Sentry 설정 및 DSN 업데이트,2,0,unknown
ㅇㅅㅇ2,419,modify: next.config.ts에서 에러 메시지 문자열을 변경하고 주석 처리 추가,1,0,unknown
ㅇㅅㅇ2,418,modify: JobList 컴포넌트에 uuid 추가,1,0,unknown
ㅇㅅㅇ2,417,feat: DMP 스크랩 로그 기능 추가,1,0,unknown
ㅇㅅㅇ2,416,feat: SEO noindex 처리 기능 추가,1,0,unknown
ㅇㅅㅇ2,415,modify: CardJob 컴포넌트에서 사용자 유형에 따른 클릭 핸들링 로직 추가,1,0,unknown
ㅇㅅㅇ2,414,modify: 링크 URL 수정,1,0,unknown
ㅇㅅㅇ2,413,modify: Hydration 컴포넌트에서 코드 프리패치 추가 및 useGetCode 훅 수정,1,0,unknown
ㅇㅅㅇ2,412,modify: useGetCode 훅 롤백,1,0,unknown
ㅇㅅㅇ2,411,modify: JobList 컴포넌트에서 데이터 유효성 검사 및 메모이제이션 개선,1,0,unknown
ㅇㅅㅇ2,409,modify: 지역 코드 분석 테스트 및 직무 분류 로직 개선,1,0,unknown
ㅇㅅㅇ2,408,modify: 직무 분류 표시 로직 개선,1,0,unknown
